"wik_name","wik_url"
"AbbeNormal","http://www.ourpla.net/cgi-bin/pikie.cgi?"
"AcadWiki","http://xarch.tu-graz.ac.at/autocad/wiki/"
"Acronym","http://www.acronymfinder.com/af-query.asp?String=exact&Acronym="
"Advogato","http://www.advogato.org/"
"Alsa","http://alsa.opensrc.org/index.php?page="
"AndStuff","http://andstuff.org/"
"ArtificialLife","http://www.alife.org/wiki/"
"AviSynth","http://www.avisynth.org/"
"BenefitsWiki","http://www.benefitslink.com/cgi-bin/wiki.cgi?"
"Bible","http://bible.gospelcom.net/bible?"
"Binaries","http://binaries.nl/search/?q="
"BrianLane","http://www.brianlane.com/wiki/"
"BridgesWiki","http://c2.com/w2/bridges/"
"BTWiki","http://www.bamber.org/wiki/?"
"CaffeinatedWiki","http://socrates.yi.org/"
"ClassJabberPHPWiki","http://phpjabber.g-blog.net/"
"CLiki","http://ww.telent.net/cliki/"
"CmWiki","http://www.ourpla.net/cgi-bin/wiki.pl?"
"ColdWiki","http://coldstore.sourceforge.net/wiki/"
"CreationMatters","http://www.ourpla.net/cgi-bin/wiki.pl?"
"CSSDiscussWiki","http://css-discuss.incutio.com/?page="
"CsWiki","http://cs.messiah.edu/~scmoonen/index.php?"
"DejaNews","http://www.deja.com/=dnc/getdoc.xp?AN="
"Dictionary","http://www.dictionary.com/cgi-bin/dict.pl?term="
"DoiWalters","http://www.doiwalters.com/wiki/"
"DolphinWiki","http://www.object-arts.com/wiki/html/Dolphin/"
"EfnetCppWiki","http://www.encrypted.net/~jh/cpp-wiki/moin.cgi/"
"EfnetPythonWiki","http://www.encrypted.net/~jh/python-wiki/moin.cgi/"
"EfnetXmlWiki","http://www.encrypted.net/~jh/xml-wiki/moin.cgi/"
"EmacsWiki","http://www.emacswiki.org/cgi-bin/wiki.pl?"
"Everything2","http://www.everything2.com/"
"Foldoc","http://www.foldoc.org/foldoc/foldoc.cgi?"
"FoxWiki","http://fox.wikis.com/wc.dll?Wiki~"
"Geekido","http://geekido.org/index.php?page="
"Google","http://www.google.com/search?q="
"GoogleGroups","http://groups.google.com/groups?q="
"GreenCheese","http://www.greencheese.org/"
"H2G2","http://www.h2g2.com/Search?searchstring="
"HammondWiki","http://www.dairiki.org/HammondWiki/index.php?"
"HhGg","http://www.bbc.co.uk/dna/h2g2/"
"HooToo","http://www.bbc.co.uk/h2g2/guide/Search?searchstring="
"IAwiki","http://www.IAwiki.net/"
"ICQ","http://wwp.icq.com/"
"IfDef","http://ifdef.undef.net/"
"IMDB","http://us.imdb.com/Title?"
"JargonFile","http://sunir.org/apps/meta.pl?wiki=JargonFile&redirect="
"JiniWiki","http://www.cdegroot.com/cgi-bin/jini?"
"JTF","http://www.justthefaqs.org/?page="
"JTF","http://www.justthefaqs.org/?page="
"JustDoItWiki","http://www.just-do.it/"
"KnowHow","http://www2.iro.umontreal.ca/~paquetse/cgi-bin/wiki.cgi?"
"LegoWiki","http://www.object-arts.com/wiki/html/Lego-Robotics/"
"LiveJournal","http://www.livejournal.com/users/"
"MACCAWS","http://www.maccaws.com/wiki/"
"MACCAWS","http://www.maccaws.com/wiki/"
"MbTest","http://www.usemod.com/cgi-bin/mbtest.pl?"
"MeatBall","http://www.usemod.com/cgi-bin/mb.pl?"
"MetaWiki","http://sunir.org/apps/meta.pl?words="
"MoinMoin","http://purl.net/wiki/moin/"
"MuWeb","http://www.dunstable.com/scripts/MuWebWeb?"
"OpenWiki","http://openwiki.com/?"
"OPP","http://openpoetry.com/"
"OrgPatterns","http://www.bell-labs.com/cgi-user/OrgPatterns/OrgPatterns?"
"Patent","http://patft.uspto.gov/netacgi/nph-Parser?patentnumber="
"PeerCastWiki","http://www.peercastwiki.com/"
"PersonalTelco","http://www.personaltelco.net/index.cgi/"
"PGPKey","http://keys.pgp.dk:11371/pks/lookup?op=get&search="
"PhpWiki","http://phpwiki.sourceforge.net/phpwiki/index.php?"
"Pikie","http://pikie.darktech.org/cgi/pikie?"
"PolitizenWiki","http://www.politizen.com/wiki.asp?"
"PPR","http://c2.com/cgi/wiki?"
"PPR","http://c2.com/cgi/wiki?"
"PythonInfo","http://www.python.org/cgi-bin/moinmoin/"
"PyWiki","http://www.voght.com/cgi-bin/pywiki?"
"Raging","http://ragingsearch.altavista.com/cgi-bin/query?q="
"RFC","http://www.rfc.org.uk/cgi-bin/lookup.cgi?rfc="
"RichmondFreeWireless","http://www.richmondfreewireless.org/index.php?page="
"RussellFreedom","http://www.russellfreedom.com/"
"SeattleWireless","http://seattlewireless.net/?"
"SenseisLibrary","http://senseis.xmp.net/?"
"SourceForge","http://sourceforge.net/"
"SourceMage","http://wiki.sourcemage.org/"
"Squeak","http://minnow.cc.gatech.edu/squeak/"
"SquirrelMail","http://squirrelmail.org/wiki/wiki.php?"
"Stikki","http://steaky.dhs.org/tavi/"
"StrikiWiki","http://ch.twi.tudelft.nl/~mostert/striki/teststriki.pl?"
"Tavi","http://tavi.sourceforge.net/"
"Thesaurus","http://www.thesaurus.com/cgi-bin/search?config=roget&words="
"TheTransitioner.org","http://www.TheTransitioner.org"
"Thinki","http://www.thinkware.se/cgi-bin/thinki.cgi/"
"TWiki","http://twiki.sourceforge.net/cgi-bin/view/"
"UseMod","http://www.usemod.com/cgi-bin/wiki.pl?"
"VisualWorks","http://wiki.cs.uiuc.edu/VisualWorks/"
"WakkaWiki","http://www.wakkawiki.com/"
"WakkaWiki","http://www.wakkawiki.com/"
"WebDevWikiNL","http://www.promo-it.nl/WebDevWiki/index.php?page="
"Webster","http://m-w.com/cgi-bin/dictionary?va="
"Why","http://clublet.com/c/c/why?"
"Wiki","http://c2.com/cgi/wiki?"
"WikiFind","http://c2.com/cgi/wiki?FindPage&value="
"WikiPedia","http://www.wikipedia.com/wiki/wiki.phtml?title="
"Wiki-Wiki-Wireless","http://www.andaluciawireless.net/"
"WikkiTikkiTavi","http://tavi.sourceforge.net/"
"WUnderground","http://www.wunderground.com/cgi-bin/findweather/getForecast?query="
"ZigZag","http://zigzag.adsl.dk/zwiki/"
"ZooKeeper","http://zookeeper.sourceforge.net/index.php?"
"ZWiki","http://www.zwiki.org/"
"OpenWikiHelp","http://www.openwikihelp.com/?a=titlesearch&txt="
"Help","http://www.openwikihelp.com/?a=titlesearch&txt="
"DevWiki","http://www.openwikihelp.com/devwiki/?a=titlesearch&txt="
"OpenWikiHelpPage","http://www.openwikihelp.com/?"
"HelpPage","http://www.openwikihelp.com/?"
"DevWikiPage","http://www.openwikihelp.com/devwiki/?"
